Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Baldur's Gate 3,2020-10-06,119171,15,989,co670h
2,Marvel's Spider-Man 2,2023-12-31,127044,14,991,co5vrx
3,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,13,21,co5vmg
4,Alan Wake II,2023-10-17,185246,12,998,co6jar
5,Cyberpunk 2077: Phantom Liberty,2023-09-26,215769,11,2003,co7566
6,Resident Evil 4,2023-03-24,132181,10,212,co4tg4
7,Cuttlefish,1970-01-01,252018,9,2034,co6kzq
8,Class of '09: The Re-Up,2023-06-01,249830,8,2035,co6qx0
9,Star Wars Jedi: Survivor,2023-04-28,201156,7,721,co5uzk
10,Dead Space,2023-01-27,159119,6,88,co5esn
11,Super Mario Bros. Wonder,2023-10-20,254339,5,1438,co6nnl
12,Final Fantasy XVI,2023-06-22,31551,4,987,co5w3k
13,Resident Evil 4: Separate Ways,2023-09-21,266717,3,2036,co731k
14,The 7th Guest VR,2023-10-19,251565,2,2037,co6kna
15,Metroid Prime Remastered,2023-02-08,236663,1,107,co658o
