Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Baldur's Gate 3,2020-10-06,119171,14,989,co670h
3,Alan Wake II,2023-10-17,185246,13,998,co6jar
4,Super Mario Bros. Wonder,2023-10-20,254339,12,1438,co6nnl
5,Pikmin 4,2023-07-21,59843,11,1445,co657e
6,Cocoon,2023-09-29,204627,10,2004,co4v2z
7,Street Fighter 6,2023-06-02,191692,9,844,co5vst
8,Marvel's Spider-Man 2,2023-12-31,127044,8,991,co5vrx
9,Jusant,2023-10-31,252836,7,2029,co6lz0
10,Armored Core VI: Fires of Rubicon,2023-08-25,228542,6,999,co6ffo
11,Resident Evil 4,2023-03-24,132181,5,212,co4tg4
12,Dave the Diver,2022-10-27,203722,4,2018,co4v9d
13,Octopath Traveler II,2023-02-24,217554,3,701,co684z
14,Dead Space,2023-01-27,159119,2,88,co5esn
15,Cyberpunk 2077: Phantom Liberty,2023-09-26,215769,1,2003,co7566
