Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Alan Wake II,2023-10-17,185246,15,998,co6jar
2,Baldur's Gate 3,2020-10-06,119171,14,989,co670h
3,Hi-Fi Rush,2023-01-25,233585,13,722,co6219
4,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,12,21,co5vmg
5,Street Fighter 6,2023-06-02,191692,11,844,co5vst
6,Lies of P,2023-08-01,148241,10,990,co30p9
7,Dredge,2023-03-30,164867,9,706,co69zw
8,Final Fantasy XVI,2023-06-22,31551,8,987,co5w3k
9,Bomb Rush Cyberfunk,2023-08-18,135940,7,2070,co6ya8
10,Starfield,2023-09-06,96437,6,985,co39vv
