Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Balatro,2024-02-20,251833,15,2140,co752b
2,Astro Bot,2024-09-06,303811,14,2352,co8hl0
3,Elden Ring: Shadow of the Erdtree,2024-06-21,240009,13,2225,co7sly
4,Silent Hill 2,1970-01-01,222341,12,1441,co5l7s
5,Indiana Jones and the Great Circle,2024-12-31,142415,11,2198,co7nbc
6,UFO 50,2024-09-18,54555,10,2852,co24v0
7,Metaphor: ReFantazio,2024-12-31,26602,9,2202,co7hkn
8,Helldivers 2,2024-02-08,250616,8,2196,co741o
9,The Legend of Zelda: Echoes of Wisdom,2024-09-26,306149,7,2851,co8d9b
10,Final Fantasy VII Rebirth,2023-12-31,133236,6,1001,co4vp0
11,Dragon's Dogma II,1970-01-01,115060,5,1524,co4vr8
12,Tekken 8,1970-01-01,217590,4,1520,co6ab7
13,Prince of Persia: The Lost Crown,2024-01-18,252476,3,2210,co6lli
14,Like a Dragon: Infinite Wealth Special Trial Version,2023-11-09,319033,2,2929,co8wol
15,Thank Goodness You’re Here!,2024-08-01,262538,1,2850,co6yyq
