Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Astro Bot,2024-09-06,303811,15,2352,co8hl0
2,Elden Ring: Shadow of the Erdtree,2024-06-21,240009,14,2225,co7sly
3,Metaphor: ReFantazio,2024-12-31,26602,13,2202,co7hkn
4,Balatro,2024-02-20,251833,12,2140,co752b
5,Dragon's Dogma II,1970-01-01,115060,11,1524,co4vr8
6,Neva,2024-10-15,250621,10,2815,co8x5c
7,Helldivers 2,2024-02-08,250616,9,2196,co741o
8,Black Myth: Wukong,2024-08-20,136879,8,2222,co7pnk
9,UFO 50,2024-09-18,54555,7,2852,co24v0
10,Indiana Jones and the Great Circle,2024-12-31,142415,6,2198,co7nbc
11,Animal Well,2024-05-09,191435,5,2848,co4hdh
12,Lorelei and the Laser Eyes,2024-05-16,206806,4,2853,co4x7e
13,Tekken 8,1970-01-01,217590,3,1520,co6ab7
14,Tactical Breach Wizards,2024-08-22,86286,2,2854,co8pzg
15,Final Fantasy VII Rebirth,2023-12-31,133236,1,1001,co4vp0
