Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Tetris,1984-12-31,180279,15,421,co4vot
2,Portal 2,2011-04-18,72,14,325,co1rs4
3,Super Mario Bros. 3,1988-10-23,1068,13,507,co6bpy
4,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,12,23,co3p2d
5,Pac-Man,1980-05-22,2750,11,424,co4ulc
6,Minecraft,2011-11-18,121,10,201,co49x5
7,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,9,27,co3nnx
8,Hades,2019-12-10,113112,8,95,co39vc
9,Half-Life 2,2004-11-16,233,7,160,co1nmw
10,Super Mario 64,1996-06-23,1074,6,30,co21mm
11,Pokémon HeartGold,2009-09-12,1556,5,510,co1z57
12,Wii Sports,2006-11-19,2181,4,423,co3vge
13,The Elder Scrolls V: Skyrim,2011-11-10,472,3,392,co1tnw
14,The Last of Us,2013-06-14,1009,2,320,co1r7f
15,EarthBound,1994-08-27,2899,1,573,co3shr
