Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,15,27,co3nnx
2,Chrono Trigger,1995-03-11,1802,14,519,co3plw
3,The Legend of Zelda: A Link to the Past,1991-11-21,1026,13,372,co3vzn
4,Final Fantasy VII,1997-01-31,427,12,247,co2kx2
5,Mother 3,2006-04-20,3683,11,730,co26hf
6,Metal Gear Solid 3: Subsistence,2005-12-22,479,10,731,co1vd6
7,Castlevania: Symphony of the Night,1997-03-20,1128,9,238,co53m8
8,Super Mario Bros. 3,1988-10-23,1068,8,507,co6bpy
9,Super Mario World,1990-11-21,1070,7,371,co65za
10,Suikoden II,1998-12-17,1454,6,340,co1y6a
11,ADOM: Ancient Domains of Mystery,2015-11-16,36159,5,732,co1od2
12,Persona 4 Golden,2012-06-15,2985,4,733,co1n1x
13,Super Metroid,1994-03-19,1103,3,373,co5osy
14,Final Fantasy VI,1994-04-02,426,2,515,co31c2
15,Planescape: Torment,1999-12-12,832,1,734,co3ggb
