Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Majora's Mask,2000-04-27,1030,15,167,co3pah
2,Final Fantasy VI,1994-04-02,426,14,515,co31c2
3,Super Mario Bros. 3,1988-10-23,1068,13,507,co6bpy
4,Shadow of the Colossus,2005-10-18,2207,12,306,co1ozz
5,Tetris,1984-12-31,180279,11,421,co4vot
6,Chrono Trigger,1995-03-11,1802,10,519,co3plw
7,Metroid Prime,2002-11-17,1105,9,427,co3w4w
8,Resident Evil 4,2005-01-11,974,8,426,co2wk8
9,NieR: Automata,2017-02-23,11208,7,398,co5pcj
10,Red Dead Redemption,2010-05-18,434,6,322,co2lcv
11,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,5,27,co3nnx
12,Silent Hill 2,2001-09-24,481,4,311,co2vyg
13,Super Metroid,1994-03-19,1103,3,373,co5osy
14,Super Smash Bros. Melee,2001-11-21,1627,2,533,co21yv
15,Portal 2,2011-04-18,72,1,325,co1rs4
