Position,Title,TotalScore,ListsAppeared
1,Asgard’s Wrath II (2023),74,6
2,Beat Saber (2019),52,4
3,Dungeons of Eternity (2023),47,4
4,The Walking Dead: Saints & Sinners (2020),43,4
5,Assassin's Creed Nexus VR (2023),40,3
6,Red Matter 2 (2022),35,3
7,Arizona Sunshine II (2023),31,3
8,Walkabout Mini Golf (2020),30,3
9,Vader Immortal: A Star Wars VR Series (2019),28,2
10,Cubism (2020),28,3
11,PowerWash Simulator VR (2023),27,3
12,Resident Evil 4 (2005),27,4
13,Pistol Whip (2019),20,3
14,Ghostbusters: Rise of the Ghost Lord (2023),19,2
15,SuperHot VR (2016),18,2
16,Marvel's Iron Man VR (2020),15,2
17,Demeo (2021),15,1
18,Tetris Effect (2018),13,1
19,Little Cities (2022),13,3
20,After the Fall (2021),13,1
21,Stranger Things VR (2023),13,1
22,The Under Presents (2019),12,1
23,The Last Clockwinder (2022),12,1
24,Vampire: The Masquerade - Justice (2023),12,1
25,Drop Dead: The Cabin (2023),12,1
26,Eleven: Table Tennis VR (2016),12,1
27,Pavlov VR (2017),12,1
28,Keep Talking and Nobody Explodes (2015),11,1
29,Eye of the Temple (2021),11,1
30,Journey of the Gods (2019),10,1
31,Espire 2 (2022),10,1
32,Space Pirate Trainer (2016),10,1
33,Breachers (2023),9,1
34,Myst (2012),8,1
35,Population: One (2020),7,1
36,In Death Unchained (2020),6,1
37,Synth Riders (2018),6,1
38,Unplugged (2021),6,1
39,Audica (2019),5,1
40,Demeo Battles (2023),5,2
41,I Expect You to Die (2016),4,1
42,Puzzling Places (2021),4,1
43,What the Bat? (2022),3,1
44,Mare (2021),1,1
45,Outta Hand (2024),1,1
