Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Beat Saber,2019-05-21,83731,15,33,co20ux
2,Vader Immortal: A Star Wars VR Series,2019-05-21,125987,14,68,co31db
3,SuperHot VR,2016-12-06,25632,13,49,co24uu
4,Eleven: Table Tennis VR,2016-09-22,32889,12,61,co4ooo
5,Walkabout Mini Golf,2020-09-24,142095,11,53,co2nf4
6,Space Pirate Trainer,2016-04-05,34041,10,2130,co1xrs
7,Cubism,2020-09-17,95591,9,1331,co2m6x
8,Little Cities,2022-05-12,201654,8,420,co4rg2
9,Resident Evil 4,2005-01-11,974,7,426,co2wk8
10,Unplugged,2021-12-14,153854,6,56,co5ibl
11,Pistol Whip,2019-11-07,119341,5,67,co1swl
12,PowerWash Simulator VR,2023-11-02,251557,4,2122,co7kxu
13,What the Bat?,2022-11-17,204348,3,1884,co4uoo
14,Demeo Battles,2023-11-09,251555,2,2128,co6kne
15,Marvel's Iron Man VR,2020-07-03,116585,1,131,co1myi
