Position,Title,TotalScore,ListsAppeared
1,Pitfall! (1982),44,4
2,Adventure (1979),36,3
3,Space Invaders (1978),35,3
4,Ms. Pac-Man (1982),27,3
5,Frogger (1982),24,3
6,Q*bert (1982),21,3
7,Pong (1972),20,2
8,Pole Position (1982),17,3
9,Dig Dug (1982),15,2
10,Yars' Revenge (1982),15,2
11,Pitfall II: The Lost Caverns (1984),15,1
12,Asteroids (1981),14,2
13,Missile Command (1980),14,1
14,Donkey Kong (1982),14,1
15,Super Breakout (1978),13,1
16,Star Wars: The Empire Strikes Back (1982),13,1
17,Combat (1977),12,2
18,Tutankham (1982),12,1
19,Laser Gates (1983),11,1
20,Haunted House (1980),11,2
21,Mario Bros. (1983),11,1
22,Jungle Hunt (1982),10,1
23,Mountain King (1983),9,1
24,Riddle of the Sphinx (1982),8,1
25,Joust (1982),7,1
26,Snoopy and the Red Baron (1983),7,1
27,River Raid (1982),7,1
28,Warlords (1980),6,1
29,Cosmic Ark (1982),5,1
30,Crystal Castles (1984),4,1
31,H.E.R.O. (1984),3,1
32,Centipede (1982),2,1
33,Star Wars: Return of the Jedi - Death Star Battle (1983),2,1
34,Megamania (1982),1,1
