Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Link's Awakening,1993-06-06,1028,15,385,co3nnt
2,Pokémon Red Version,1996-02-27,1561,14,513,co5pi4
3,Super Mario Land 2: 6 Golden Coins,1992-10-21,1071,13,1596,co434w
4,Pokémon Yellow Version: Special Pikachu Edition,1998-09-12,1512,12,1496,co5pih
5,Wario Land II,1998-03-09,1697,11,1595,co4qfz
6,Final Fantasy Adventure,1991-06-28,407,10,1597,co1vpk
7,Castlevania II: Belmont's Revenge,1991-07-12,1123,9,1598,co1tg9
8,Donkey Kong Land,1995-06-26,1091,8,1650,co2x2x
9,Metroid II: Return of Samus,1991-08-26,1102,7,1644,co1wwx
10,Kirby's Dream Land 2,1995-03-21,3718,6,1601,co26fi
