Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Pokémon Yellow Version: Special Pikachu Edition,1998-09-12,1512,15,1496,co5pih
2,The Legend of Zelda: Link's Awakening,1993-06-06,1028,14,385,co3nnt
3,Pokémon Red Version,1996-02-27,1561,13,513,co5pi4
4,Metroid II: Return of Samus,1991-08-26,1102,12,1644,co1wwx
5,Tetris,1989-12-31,215387,11,1641,co55xj
6,Super Mario Land 2: 6 Golden Coins,1992-10-21,1071,10,1596,co434w
7,Dr. Mario,1990-07-27,3476,9,1645,co289l
8,Super Mario Land,1989-04-21,1069,8,1646,co236c
9,Wario Land: Super Mario Land 3,1994-01-21,1072,7,1594,co216h
10,Wario Land II,1998-03-09,1697,6,1595,co4qfz
11,Kirby's Dream Land 2,1995-03-21,3718,5,1601,co26fi
12,Donkey Kong Land 2,1996-11-23,1093,4,1600,co2ww1
13,Kirby's Dream Land,1992-04-27,1063,3,1643,co3ffy
14,Final Fantasy Legend III,1991-12-13,410,2,1647,co1vpm
15,Donkey Kong,1994-06-14,1089,1,1593,co1wd9
