Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Pokémon Red Version,1996-02-27,1561,15,513,co5pi4
2,The Legend of Zelda: Link's Awakening,1993-06-06,1028,14,385,co3nnt
3,Super Mario Land 2: 6 Golden Coins,1992-10-21,1071,13,1596,co434w
4,Tetris,1989-12-31,215387,12,1641,co55xj
5,Pokémon Yellow Version: Special Pikachu Edition,1998-09-12,1512,11,1496,co5pih
6,Super Mario Land,1989-04-21,1069,10,1646,co236c
7,Metroid II: Return of Samus,1991-08-26,1102,9,1644,co1wwx
8,Donkey Kong,1994-06-14,1089,8,1593,co1wd9
9,Turok: Battle of the Bionosaurs,1997-12-01,1325,7,1648,co2dpm
10,Kirby's Dream Land,1992-04-27,1063,6,1643,co3ffy
11,Killer Instinct,1995-12-31,254517,5,1649,co6o2r
12,Game Boy Camera,1998-02-21,84643,4,1640,co26bj
13,Final Fantasy Adventure,1991-06-28,407,3,1597,co1vpk
14,Wario Land: Super Mario Land 3,1994-01-21,1072,2,1594,co216h
15,Dr. Mario,1990-07-27,3476,1,1645,co289l
