Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: The Wind Waker,2002-12-13,1033,15,532,co3ohz
2,Super Smash Bros. Melee,2001-11-21,1627,14,533,co21yv
3,Mario Kart: Double Dash!!,2003-11-07,2344,13,1355,co21yz
4,Metroid Prime,2002-11-17,1105,12,427,co3w4w
5,Resident Evil 4,2005-01-11,974,11,426,co2wk8
6,Paper Mario: The Thousand-Year Door,2004-07-22,3349,10,531,co25us
7,Animal Crossing,2001-12-14,2655,9,541,co3wmn
8,Super Mario Sunshine,2002-07-19,1075,8,1094,co21rh
9,Chibi-Robo!,2005-06-23,3856,7,1738,co2iu2
10,Eternal Darkness: Sanity's Requiem,2002-06-23,3907,6,536,co1sa8
11,Pikmin,2001-10-26,2239,5,1359,co2eph
12,F-Zero GX,2003-07-25,3492,4,540,co525x
13,Killer7,2005-06-09,3966,3,1739,co1owa
14,The Legend of Zelda: Twilight Princess,2006-11-19,1036,2,535,co3mtv
15,Beyond Good & Evil,2003-11-11,1341,1,454,co2n6b
