Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Beat Saber,2019-05-21,83731,15,33,co20ux
2,Resident Evil 4 VR,2021-10-21,172560,14,46,co3zab
3,SuperHot VR,2016-12-06,25632,13,49,co24uu
4,I Expect You to Die 2,2021-08-24,152218,12,74,co39sr
5,The Walking Dead: Saints & Sinners,2020-01-23,105416,11,50,co1tgc
6,Moss,2018-02-27,37095,10,42,co1i1j
7,Robo Recall: Unplugged,2019-05-21,174555,9,1878,co4q6y
8,Pistol Whip,2019-11-07,119341,8,67,co1swl
9,The Room VR: A Dark Matter,2020-03-26,123991,7,73,co208c
10,The Climb 2,2021-03-04,144372,6,1874,co2un7
11,Until You Fall,2020-09-29,115478,5,52,co1jfg
12,Job Simulator: The 2050 Archives,2016-04-05,12596,4,781,co2qgk
13,Journey of the Gods,2019-05-21,121937,3,1879,co1pji
