Position,Title,TotalScore,ListsAppeared
1,Super Mario Bros. 3 (1988),72,5
2,The Legend of Zelda (1986),66,5
3,Mega Man 2 (1989),51,4
4,Super Mario Bros. (1986),48,4
5,Contra (1987),38,5
6,Metroid (1986),34,3
7,Kirby's Adventure (1993),31,4
8,Castlevania III: Dracula's Curse (1990),29,3
9,Tetris (1987),27,3
10,Mike Tyson's Punch-Out!! (1987),21,3
11,Castlevania (1986),17,2
12,Bionic Commando (1987),15,3
13,Final Fantasy (1987),15,2
14,Crystalis (1990),13,3
15,Mega Man 3 (1990),11,1
16,The Guardian Legend (1988),10,1
17,Dragon Warrior III (1988),10,1
18,Punch-Out!! (1984),9,1
19,Ninja Gaiden II: The Dark Sword of Chaos (1990),9,2
20,Ninja Gaiden (1988),8,1
21,Dragon Warrior (1986),8,1
22,River City Ransom (1990),6,1
23,Charge Knight: A Duck's Tale (1970),6,1
24,Crisis Force (1991),6,1
25,Dragon Quest I.II (1993),5,1
26,Life Force (1988),5,2
27,Teenage Mutant Ninja Turtles II: The Arcade Game (1990),5,1
28,Excitebike (1984),4,2
29,Maniac Mansion (1987),4,1
30,DuckTales (1989),4,1
31,R.C. Pro-Am (1988),3,1
32,Little Nemo: The Dream Master (1990),3,1
33,Disney's DuckTales (1989),2,1
34,R.C. Pro-Am II (1992),2,1
35,River City Ransom: Underground (2017),1,1
36,Teenage Mutant Ninja Turtles III: The Manhattan Project (1991),1,1
37,Kid Icarus (1986),1,1
