Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Super Mario Bros. 3,1988-10-23,1068,15,507,co6bpy
2,The Legend of Zelda,1986-02-21,1022,14,18,co1uii
3,Super Mario Bros.,1985-09-13,358,13,553,co6bni
4,Mega Man 2,1989-06-02,1715,12,554,co5x42
5,Castlevania,1986-09-26,1114,11,555,co6dcb
6,Metroid,1986-08-06,1101,10,556,co1xe8
7,Mike Tyson's Punch-Out!!,1987-10-18,2195,9,557,co6386
8,Dragon Warrior,1986-05-27,205229,8,558,co55p3
9,Bionic Commando,1987-12-31,9242,7,559,co4ih2
10,Charge Knight: A Duck's Tale,1970-01-01,213495,6,560,co66l2
11,Final Fantasy,1987-12-18,385,5,561,co2xv8
12,Contra,1987-02-20,4598,4,562,co4ben
13,R.C. Pro-Am,1988-02-01,9155,3,563,co2xcg
14,Excitebike,1984-11-28,4600,2,566,co3too
15,River City Ransom: Underground,2017-02-27,27038,1,565,co24om
