Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Super Mario Bros. 3,1988-10-23,1068,15,507,co6bpy
2,Mega Man 2,1989-06-02,1715,14,554,co5x42
3,The Legend of Zelda,1986-02-21,1022,13,18,co1uii
4,Contra,1987-02-20,4598,12,562,co4ben
5,Mega Man 3,1990-09-28,1716,11,1863,co55ce
6,The Guardian Legend,1988-02-05,48058,10,1864,co2zhz
7,Mike Tyson's Punch-Out!!,1987-10-18,2195,9,557,co6386
8,Castlevania III: Dracula's Curse,1990-09-01,1119,8,681,co3dbm
9,Kirby's Adventure,1993-03-23,3717,7,675,co2xdv
10,Super Mario Bros.,1985-09-13,358,6,553,co6bni
11,Tetris,1987-12-31,203100,5,624,co4v7s
12,Ninja Gaiden II: The Dark Sword of Chaos,1990-04-06,15540,4,1865,co5ubo
13,Little Nemo: The Dream Master,1990-09-01,9160,3,1866,co5x43
14,Disney's DuckTales,1989-09-14,6487,2,677,co3wks
15,Teenage Mutant Ninja Turtles III: The Manhattan Project,1991-12-13,14731,1,1867,co3wou
