Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Super Mario Bros. 3,1988-10-23,1068,15,507,co6bpy
2,The Legend of Zelda,1986-02-21,1022,14,18,co1uii
3,Mega Man 2,1989-06-02,1715,13,554,co5x42
4,Kirby's Adventure,1993-03-23,3717,12,675,co2xdv
5,Castlevania III: Dracula's Curse,1990-09-01,1119,11,681,co3dbm
6,Dragon Warrior III,1988-02-10,205589,10,1868,co6s7a
7,Tetris,1987-12-31,203100,9,624,co4v7s
8,Contra,1987-02-20,4598,8,562,co4ben
9,Bionic Commando,1987-12-31,9242,7,559,co4ih2
10,Crisis Force,1991-09-27,48652,6,1869,co6v2t
11,Ninja Gaiden II: The Dark Sword of Chaos,1990-04-06,15540,5,1865,co5ubo
12,Maniac Mansion,1987-10-01,192,4,1870,co30ys
13,Life Force,1988-08-01,174945,3,778,co4qvn
14,R.C. Pro-Am II,1992-12-31,9156,2,1871,co6oue
15,Crystalis,1990-04-13,3121,1,674,co4ek8
