Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: A Link Between Worlds,2013-11-22,2909,15,1014,co3p0j
2,Fire Emblem: Awakening,2012-04-19,1443,14,1060,co668y
3,Pokémon Sun,2016-11-18,18100,13,1239,co3co7
4,Animal Crossing: New Leaf,2012-11-08,2687,12,2290,co3whp
5,Luigi's Mansion: Dark Moon,2013-03-20,2476,11,2291,co3vjj
6,Monster Hunter 4 Ultimate,2014-10-11,6440,10,2292,co2gkk
7,The Legend of Zelda: Ocarina of Time 3D,2011-06-16,1039,9,1012,co600u
8,Picross 3D: Round 2,2015-10-01,26176,8,2293,co2api
9,Super Mario 3D Land,2011-11-03,1079,7,2294,co21tq
10,Metroid: Samus Returns,2017-09-15,37140,6,2295,co3j82
11,Xenoblade Chronicles 3D,2015-04-02,9553,5,2296,co2hay
12,Mario Kart 7,2011-12-02,2349,4,2297,co2146
13,The Legend of Zelda: Majora's Mask 3D,2015-02-12,8593,3,2298,co1ujb
14,Monster Hunter Stories,2016-10-08,9692,2,2299,co5j9q
15,Theatrhythm Final Fantasy: Curtain Call,2014-04-24,5679,1,2300,co2roh
