Position,Title,TotalScore,ListsAppeared
1,The Legend of Zelda: Ocarina of Time (1998),60,4
2,Super Mario 64 (1996),50,4
3,Banjo-Kazooie (1998),41,4
4,Paper Mario (2000),39,4
5,The Legend of Zelda: Majora's Mask (2000),39,3
6,Perfect Dark (2000),37,4
7,Star Fox 64 (1997),32,3
8,007 GoldenEye (1995),27,3
9,Super Smash Bros. (1999),25,3
10,Wave Race 64 (1996),15,2
11,GoldenEye 007 (1997),13,1
12,Conker's Bad Fur Day (2001),12,3
13,F-Zero X (1998),11,2
14,Mario Kart 64 (1996),9,1
15,Mario Golf (1999),9,2
16,International Superstar Soccer '98 (1998),7,1
17,Star Wars: Rogue Squadron (1998),7,2
18,Doom 64 (1997),6,1
19,Mario Tennis (2000),6,1
20,Banjo-Tooie (2000),6,2
21,Pokémon Puzzle League (2000),5,1
22,Rayman 2: The Great Escape (1999),4,1
23,Diddy Kong Racing (1997),4,1
24,Pilotwings 64 (1996),3,1
25,Blast Corps (1997),3,2
26,Ogre Battle 64: Person of Lordly Caliber (1999),3,1
27,Donkey Kong 64 (1999),3,1
28,Mario Party 3 (2000),2,1
29,Mario Party 2 (1999),2,1
