Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,New Super Mario Bros.,2006-05-15,1076,15,1134,co21rm
2,Chrono Trigger,2008-11-20,20398,14,1613,co54iw
3,The Legend of Zelda: Phantom Hourglass,2007-06-23,1037,13,1142,co3ocu
4,Grand Theft Auto: Chinatown Wars,2009-03-17,3270,12,435,co2lba
5,Mario Kart DS,2005-11-14,2345,11,1120,co214h
6,Castlevania: Dawn of Sorrow,2005-08-25,1136,10,1608,co3dc0
7,The World Ends with You,2007-07-26,1343,9,1657,co1n67
8,Super Mario 64 DS,2004-11-21,22301,8,1669,co2u80
9,Pokémon HeartGold Version,2009-09-12,1556,7,510,co1z57
10,Animal Crossing: Wild World,2005-11-23,2645,6,1118,co3wms
