Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Mario Kart DS,2005-11-14,2345,15,1120,co214h
2,Grand Theft Auto: Chinatown Wars,2009-03-17,3270,14,435,co2lba
3,Osu! Tatakae! Ouendan,2005-08-28,24645,13,1603,co25uu
4,Advance Wars: Dual Strike,2005-06-23,1693,12,1604,co4otn
5,Mario & Luigi: Bowser's Inside Story,2009-09-14,3363,11,1605,co21vr
6,New Super Mario Bros.,2006-05-15,1076,10,1134,co21rm
7,Bangai-O Spirits,2008-03-19,21278,9,1606,co426k
8,Ghost Trick: Phantom Detective,2010-06-19,1348,8,1607,co2yj9
9,Castlevania: Dawn of Sorrow,2005-08-25,1136,7,1608,co3dc0
10,Professor Layton and the Unwound Future,2008-11-27,1399,6,1609,co1wtg
11,Kirby: Canvas Curse,2005-03-24,3722,5,1610,co1qov
12,Phoenix Wright: Ace Attorney,2005-01-01,221282,4,1611,co5w3h
13,Tetris DS,2006-03-20,18599,3,1612,co2cnp
14,Chrono Trigger,2008-11-20,20398,2,1613,co54iw
15,Pokémon Black Version,2010-09-18,1521,1,1413,co1z1x
