Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Mario Kart DS,2005-11-14,2345,15,1120,co214h
2,New Super Mario Bros.,2006-05-15,1076,14,1134,co21rm
3,Mario & Luigi: Bowser's Inside Story,2009-09-14,3363,13,1605,co21vr
4,Pokémon Black Version,2010-09-18,1521,12,1413,co1z1x
5,Super Mario 64 DS,2004-11-21,22301,11,1669,co2u80
6,The Legend of Zelda: Phantom Hourglass,2007-06-23,1037,10,1142,co3ocu
7,Mario & Luigi: Partners in Time,2005-11-28,3364,9,192,co21rk
8,Pokémon Platinum Version,2008-09-13,1519,8,1663,co1zhu
9,The World Ends with You,2007-07-26,1343,7,1657,co1n67
10,Nintendogs: Labrador & Friends,2005-05-21,47944,6,1674,co2xw2
11,Kirby Super Star Ultra,2008-09-22,2647,5,1664,co3g9j
12,The Legend of Zelda: Spirit Tracks,2009-12-07,1038,4,1671,co3oj6
13,Super Princess Peach,2005-10-20,20497,3,2523,co1wsg
14,Animal Crossing: Wild World,2005-11-23,2645,2,1118,co3wms
15,Pokémon Diamond Version,2006-09-28,1560,1,1655,co1zht
