Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Pokémon Legends: Arceus,2022-01-28,144054,14,110,co3d03
3,Super Mario Odyssey,2017-10-27,26758,13,90,co1mxf
4,Animal Crossing: New Horizons,2020-03-19,109462,12,92,co3wls
5,Metroid Prime Remastered,2023-02-08,236663,11,107,co658o
6,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,10,23,co3p2d
7,Mario Kart 8 Deluxe,2017-04-28,26764,9,96,co213p
8,Splatoon 3,2022-09-09,143613,8,109,co59x3
9,Stardew Valley,2016-02-26,17000,7,386,xrpmydnu9rpxvxfjkiu7
10,Kirby and the Forgotten Land,2022-03-25,172427,6,269,co3vlw
11,Yoshi's Crafted World,2019-03-29,37135,5,1860,co260b
12,Pikmin 3 Deluxe,2020-10-29,136498,4,1861,co2jl7
