Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,15,23,co3p2d
2,Super Smash Bros. Ultimate,2018-12-07,90101,14,91,co2255
3,Super Mario Odyssey,2017-10-27,26758,13,90,co1mxf
4,Metroid Prime Remastered,2023-02-08,236663,12,107,co658o
5,Mario Kart 8 Deluxe,2017-04-28,26764,11,96,co213p
6,Metroid Dread,2021-10-07,15698,10,93,co39zx
7,Splatoon 3,2022-09-09,143613,9,109,co59x3
8,Xenoblade Chronicles 3,2022-07-29,191411,8,89,co4ocq
9,Fire Emblem: Three Houses,2019-07-25,26845,7,97,co1n8t
10,Luigi's Mansion 3,2019-10-31,109455,6,94,co22a9
11,Hades,2019-12-10,113112,5,95,co39vc
12,Stardew Valley,2016-02-26,17000,4,386,xrpmydnu9rpxvxfjkiu7
13,Hollow Knight,2017-02-24,14593,3,145,co1rgi
14,Monster Hunter Rise,2021-03-26,138950,2,591,co3uzk
15,Persona 5 Royal,2019-10-31,114283,1,108,co1nic
