Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Xenoblade Chronicles 3,2022-07-29,191411,14,89,co4ocq
3,Metroid Dread,2021-10-07,15698,13,93,co39zx
4,Fire Emblem: Three Houses,2019-07-25,26845,12,97,co1n8t
5,Mario + Rabbids Sparks of Hope,2022-10-20,152201,11,262,co52q4
6,Pokémon Legends: Arceus,2022-01-28,144054,10,110,co3d03
7,Animal Crossing: New Horizons,2020-03-19,109462,9,92,co3wls
8,Golf Story,2017-09-28,35626,8,1910,co2q9e
9,Bayonetta 3,2022-10-28,76888,7,274,co4z2i
10,Super Mario Odyssey,2017-10-27,26758,6,90,co1mxf
