Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Octopath Traveler II,2023-02-24,217554,15,701,co684z
2,Live A Live,2022-07-22,191407,14,188,co4hc1
3,Pokémon Scarlet,2022-11-18,191931,13,692,co5sfi
4,Monster Hunter Rise,2021-03-26,138950,12,591,co3uzk
5,Animal Crossing: New Horizons,2020-03-19,109462,11,92,co3wls
6,Pokémon Legends: Arceus,2022-01-28,144054,10,110,co3d03
7,Hades,2019-12-10,113112,9,95,co39vc
8,New Pokémon Snap,2021-04-29,135142,8,702,co2oil
9,Mario Strikers: Battle League,2022-06-10,191398,7,703,co4has
10,Neon White,2022-06-16,143612,6,261,co2tgh
