Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,15,23,co3p2d
2,Mario Kart 8 Deluxe,2017-04-28,26764,14,96,co213p
3,Animal Crossing: New Horizons,2020-03-19,109462,13,92,co3wls
4,Ori and the Will of the Wisps,2020-03-10,37001,12,369,co2e1l
5,Super Smash Bros. Ultimate,2018-12-07,90101,11,91,co2255
6,Luigi's Mansion 3,2019-10-31,109455,10,94,co22a9
7,Pokémon Legends: Arceus,2022-01-28,144054,9,110,co3d03
8,Hollow Knight,2017-02-24,14593,8,145,co1rgi
9,Kirby and the Forgotten Land,2022-03-25,172427,7,269,co3vlw
10,The Elder Scrolls V: Skyrim,2011-11-10,472,6,392,co1tnw
11,The Witcher 3: Wild Hunt,2015-05-19,1942,5,347,co1wyy
12,Super Mario Odyssey,2017-10-27,26758,4,90,co1mxf
13,Super Mario 3D World,2013-11-21,2180,3,585,co21vd
14,Pokémon Sword,2019-11-15,37382,2,707,co1zk2
15,Super Mario Maker 2,2019-06-28,115276,1,603,co21vy
