Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil 2,1998-01-21,880,15,248,co2vz0
2,Metal Gear Solid,1998-09-03,375,14,237,co55sj
3,Castlevania: Symphony of the Night,1997-03-20,1128,13,238,co53m8
4,Final Fantasy VII,1997-01-31,427,12,247,co2kx2
5,Chrono Cross,1999-11-18,1804,11,383,co1oj7
6,World Soccer: Winning Eleven,2002-04-25,68693,10,2005,co5tyu
7,Tomb Raider II,1997-10-31,1156,9,379,co3whn
8,Spider-Man,2000-08-30,3603,8,523,co2xxq
9,Tekken 3,1997-03-22,1244,7,242,co3tsh
10,The Need for Speed,1994-08-31,90,6,2006,co1oiv
