Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil 2,1998-01-21,880,15,248,co2vz0
2,Tony Hawk's Pro Skater 2,2000-09-20,913,14,249,co1y77
3,Final Fantasy VII,1997-01-31,427,13,247,co2kx2
4,Silent Hill,1999-02-23,480,12,256,co2vye
5,Spider-Man,2000-08-30,3603,11,523,co2xxq
6,Medal of Honor,1999-10-31,1307,10,394,co2q3l
7,Driver,1999-06-25,675,9,300,co1yab
8,Legacy of Kain: Soul Reaver,1999-08-16,4122,8,343,co1yal
9,Metal Slug X,1999-01-19,18840,7,524,co1on2
10,Crash Bandicoot,1996-09-09,1185,6,24,co555l
