Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metal Gear Solid,1998-09-03,375,15,237,co55sj
2,Castlevania: Symphony of the Night,1997-03-20,1128,14,238,co53m8
3,Resident Evil 2,1998-01-21,880,13,248,co2vz0
4,Silent Hill,1999-02-23,480,12,256,co2vye
5,Final Fantasy VII,1997-01-31,427,11,247,co2kx2
6,Chrono Cross,1999-11-18,1804,10,383,co1oj7
7,Gran Turismo,1997-12-23,1594,9,389,co1pd3
8,Crash Bandicoot: Warped,1998-10-31,1187,8,243,co55ae
9,Tony Hawk's Pro Skater 2,2000-09-20,913,7,249,co1y77
10,Tekken 3,1997-03-22,1244,6,242,co3tsh
