SourceName,SourceURL,SourceId,GeneratedCsvPath
IGN,https://www.ign.com/articles/best-ps2-games,94,ign - 2023-04-03_15-01-44.csv
Complex,https://www.complex.com/pop-culture/the-50-best-ps2-games-ever,170,complex - 2023-04-17_11-43-03.csv
Gaming Gorilla,https://gaminggorilla.com/best-ps2-games/,156,gaming gorilla - 2023-04-17_11-46-37.csv
GamesRadar+,https://www.gamesradar.com/best-ps2-games-all-time/,129,gamesradar+ - 2023-04-17_11-49-54.csv
Retrododo,https://retrododo.com/best-ps2-games/,157,retrododo - 2023-04-17_11-58-25.csv
Denofgeek,https://www.denofgeek.com/games/best-playstation-2-games/,171,denofgeek - 2023-04-17_12-01-26.csv
One37pm,https://www.one37pm.com/gaming/best-ps2-games-of-all-time,172,one37pm - 2023-04-17_12-09-29.csv
Exputer,https://exputer.com/guides/best-ps2-games/,173,exputer - 2023-04-17_12-14-48.csv
Svg,https://www.svg.com/950552/the-66-best-ps2-games-of-all-time/,174,svg - 2023-04-17_12-17-08.csv
Dexerto,https://www.dexerto.com/opinion/best-playstation-2-games-1868192/,175,dexerto - 2023-04-17_12-19-55.csv
Destructoid,https://www.destructoid.com/10-most-iconic-playstation-2-games-ranked/,176,destructoid - 2023-04-17_12-21-59.csv
Culturedvultures,https://culturedvultures.com/best-ps2-games/,158,culturedvultures - 2023-04-17_12-24-10.csv
