Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Grand Theft Auto: San Andreas,2004-10-26,732,15,304,co2lb9
2,Shadow of the Colossus,2005-10-18,2207,14,306,co1ozz
3,Kingdom Hearts,2002-03-28,1219,13,441,co30zf
4,God of War II,2007-03-13,551,12,442,co3dik
5,Ōkami,2006-04-20,1271,11,313,co3mpk
6,Ico,2001-09-24,7170,10,443,co3r78
7,Metal Gear Solid 3: Snake Eater,2004-11-17,379,9,305,co5ei5
8,Grand Theft Auto: Vice City,2002-10-27,733,8,308,co2lbb
9,Final Fantasy X,2001-07-19,418,7,312,co1tr1
10,Resident Evil 4,2005-01-11,974,6,426,co2wk8
11,Metal Gear Solid 2: Sons of Liberty,2001-11-13,376,5,309,co5e1c
12,Ratchet & Clank: Up Your Arsenal,2004-11-02,1773,4,444,co1oyn
13,Persona 4,2008-07-10,9600,3,445,co1u07
14,ESPN NFL 2K5,2004-07-20,7881,2,446,co2xij
15,Grand Theft Auto III,2001-10-22,730,1,433,co2lb8
