Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Grand Theft Auto: San Andreas,2004-10-26,732,15,304,co2lb9
2,Metal Gear Solid 3: Snake Eater,2004-11-17,379,14,305,co5ei5
3,Shadow of the Colossus,2005-10-18,2207,13,306,co1ozz
4,God of War II,2007-03-13,551,12,442,co3dik
5,Silent Hill 2,2001-09-24,481,11,311,co2vyg
6,Final Fantasy X,2001-07-19,418,10,312,co1tr1
7,Resident Evil 4,2005-01-11,974,9,426,co2wk8
8,Devil May Cry 3: Dante's Awakening,2005-02-17,136,8,318,co1u6u
9,Kingdom Hearts II,2005-12-22,1221,7,449,co30t1
10,Ōkami,2006-04-20,1271,6,313,co3mpk
11,TimeSplitters: Future Perfect,2005-03-21,2144,5,451,co21s3
12,Tekken 5,2004-09-01,1246,4,467,co45jq
13,Prince of Persia: The Sands of Time,2003-11-06,836,3,471,co4t8l
14,Jak and Daxter: The Precursor Legacy,2001-12-03,1528,2,455,co1w7q
15,Tom Clancy's Splinter Cell: Chaos Theory,2005-03-28,911,1,477,co2ysx
