Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Grand Theft Auto: San Andreas,2004-10-26,732,15,304,co2lb9
2,Silent Hill 2,2001-09-24,481,14,311,co2vyg
3,Devil May Cry 3: Dante's Awakening,2005-02-17,136,13,318,co1u6u
4,Metal Gear Solid 3: Snake Eater,2004-11-17,379,12,305,co5ei5
5,Shadow of the Colossus,2005-10-18,2207,11,306,co1ozz
6,Resident Evil 4,2005-01-11,974,10,426,co2wk8
7,Star Wars: Battlefront II,2005-10-31,142,9,447,co1nsg
8,Burnout 3: Takedown,2004-09-07,5761,8,448,co1y53
9,Kingdom Hearts II,2005-12-22,1221,7,449,co30t1
10,God of War II,2007-03-13,551,6,442,co3dik
11,Ratchet & Clank: Up Your Arsenal,2004-11-02,1773,5,444,co1oyn
12,Sly 2: Band of Thieves,2004-09-14,1799,4,450,co1p0p
13,TimeSplitters: Future Perfect,2005-03-21,2144,3,451,co21s3
14,Bully,2006-10-17,2720,2,315,co2lc9
15,Need for Speed: Most Wanted,2005-11-15,98,1,452,co209j
