Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metal Gear Solid 3: Snake Eater,2004-11-17,379,15,305,co5ei5
2,Shadow of the Colossus,2005-10-18,2207,14,306,co1ozz
3,Resident Evil 4,2005-01-11,974,13,426,co2wk8
4,Final Fantasy X,2001-07-19,418,12,312,co1tr1
5,Silent Hill 2,2012-03-20,222485,11,310,co5wkr
6,Grand Theft Auto: San Andreas,2004-10-26,732,10,304,co2lb9
7,Prince of Persia: The Sands of Time,2003-11-06,836,9,471,co4t8l
8,Devil May Cry 3: Dante's Awakening,2005-02-17,136,8,318,co1u6u
9,Beyond Good & Evil,2003-11-11,1341,7,454,co2n6b
10,Ico,2001-09-24,7170,6,443,co3r78
11,Kingdom Hearts II,2005-12-22,1221,5,449,co30t1
12,God of War II,2007-03-13,551,4,442,co3dik
13,Ōkami,2006-04-20,1271,3,313,co3mpk
14,Rock Band 2,2008-09-14,2692,2,472,co1wp9
15,Gran Turismo 4,2004-12-28,1601,1,473,co30ws
