Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us Remastered,2014-07-26,6036,15,410,co5zks
2,God of War,2018-04-20,19560,14,345,co1tmu
3,The Witcher 3: Wild Hunt,2015-05-19,1942,13,347,co1wyy
4,Red Dead Redemption 2,2018-10-26,25076,12,352,co1q1f
5,Bloodborne,2015-03-24,7334,11,346,co1rba
6,Grand Theft Auto V,2013-09-17,1020,10,323,co2lbd
7,Horizon Zero Dawn,2017-02-28,11156,9,348,co2una
8,Resident Evil 2,2019-01-25,19686,8,354,co1ir3
9,Final Fantasy VII Remake,2020-04-10,11169,7,409,co1qxr
10,NieR: Automata,2017-02-23,11208,6,398,co5pcj
11,Persona 5 Royal,2019-10-31,114283,5,108,co1nic
12,Marvel's Spider-Man,2018-09-07,19565,4,349,co1r77
13,Ghost of Tsushima,2020-07-17,75235,3,353,co2crj
14,Hades,2019-12-10,113112,2,95,co39vc
15,Death Stranding,2019-11-08,19564,1,399,co5vq8
