Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us Part II,2020-06-19,26192,15,11,co5ziw
2,God of War,2018-04-20,19560,14,345,co1tmu
3,Horizon Zero Dawn,2017-02-28,11156,13,348,co2una
4,Red Dead Redemption 2,2018-10-26,25076,12,352,co1q1f
5,Marvel's Spider-Man,2018-09-07,19565,11,349,co1r77
6,Metal Gear Solid V: The Phantom Pain,2015-09-01,1985,10,331,co1v85
7,The Witcher 3: Wild Hunt,2015-05-19,1942,9,347,co1wyy
8,Fortnite,2017-07-25,1905,8,253,co2ekt
9,Grand Theft Auto V,2013-09-17,1020,7,323,co2lbd
10,What Remains of Edith Finch,2017-04-24,11233,6,397,co1rbj
11,Ghost of Tsushima,2020-07-17,75235,5,353,co2crj
12,Uncharted 4: A Thief's End,2016-05-10,7331,4,355,co1r7h
13,NieR: Automata,2017-02-23,11208,3,398,co5pcj
14,Resident Evil 7: Biohazard,2017-01-24,19562,2,47,co545w
15,Persona 5,2016-09-15,9927,1,330,co1r76
