Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,God of War,2018-04-20,19560,15,345,co1tmu
2,The Last of Us Part II,2020-06-19,26192,14,11,co5ziw
3,Bloodborne,2015-03-24,7334,13,346,co1rba
4,The Witcher 3: Wild Hunt,2015-05-19,1942,12,347,co1wyy
5,Persona 5 Royal,2019-10-31,114283,11,108,co1nic
6,Grand Theft Auto V,2013-09-17,1020,10,323,co2lbd
7,Horizon Zero Dawn,2017-02-28,11156,9,348,co2una
8,Marvel's Spider-Man,2018-09-07,19565,8,349,co1r77
9,Control,2019-08-27,103329,7,350,co2evj
10,Uncharted: The Lost Legacy,2017-08-22,26193,6,351,co1tp9
11,Red Dead Redemption 2,2018-10-26,25076,5,352,co1q1f
12,Ghost of Tsushima,2020-07-17,75235,4,353,co2crj
13,Resident Evil 2,2019-01-25,19686,3,354,co1ir3
14,Metal Gear Solid V: The Phantom Pain,2015-09-01,1985,2,331,co1v85
15,Uncharted 4: A Thief's End,2016-05-10,7331,1,355,co1r7h
