Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Bloodborne,2015-03-24,7334,15,346,co1rba
2,Death Stranding,2019-11-08,19564,14,399,co5vq8
3,Devil May Cry 5,2019-03-08,76253,13,400,co1rb4
4,Dreams,2020-02-14,11155,12,401,co4rmx
5,Elden Ring,2022-02-25,119133,11,10,co4jni
6,Ghost of Tsushima,2020-07-17,75235,10,353,co2crj
7,God of War,2018-04-20,19560,9,345,co1tmu
8,Horizon Zero Dawn,2017-02-28,11156,8,348,co2una
9,The Last of Us Part II,2020-06-19,26192,7,11,co5ziw
10,Mortal Kombat 11,2019-04-22,112916,6,402,co20mh
11,Mass Effect 2,2010-01-26,74,5,334,co20ac
12,The Outer Worlds,2019-10-25,113114,4,403,co2eew
13,Overwatch,2016-05-24,8173,3,404,co1rcb
14,Persona 5,2016-09-15,9927,2,330,co1r76
