Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Alan Wake II,2023-10-17,185246,15,998,co6jar
2,Final Fantasy VII Rebirth,2023-12-31,133236,14,1001,co4vp0
3,Elden Ring,2022-02-25,119133,13,10,co4jni
4,Disco Elysium: The Final Cut,2021-03-30,141540,12,431,co2ve1
5,Persona 5 Royal,2019-10-31,114283,11,108,co1nic
6,Octopath Traveler II,2023-02-24,217554,10,701,co684z
7,Marvel's Spider-Man 2,2023-12-31,127044,9,991,co5vrx
8,Final Fantasy XIV Online,2013-08-27,386,8,2248,co48rz
9,Returnal,2021-04-30,134584,7,164,co3wc1
10,Final Fantasy VII Remake Intergrade,2021-06-10,144024,6,357,co4vor
11,Ghost of Tsushima: Director's Cut,2021-08-20,153700,5,165,co3p5f
12,Dragon's Dogma II,1970-01-01,115060,4,1524,co4vr8
13,Demon's Souls,2020-11-12,134606,3,356,co2kj9
14,Metaphor: ReFantazio,2024-12-31,26602,2,2202,co7hkn
15,Ratchet & Clank: Rift Apart,2021-06-11,134582,1,162,co2str
