Position,Title,TotalScore,ListsAppeared
1,Gravity Rush (2012),15,1
2,Persona 4 Golden (2012),14,1
3,Tearaway (2013),13,1
4,Hotline Miami (2012),12,1
5,TxK (2014),11,1
6,Severed (2016),10,1
7,Dragon's Crown (2013),9,1
8,Danganronpa: Trigger Happy Havoc (2010),8,1
9,Spelunky (2012),7,1
10,Uncharted: Golden Abyss (2011),6,1
11,Guacamelee! (2013),5,1
12,Odin Sphere: Leifthrasir (2016),4,1
13,Velocity 2X (2014),3,1
14,Ys: Memories of Celceta (2012),2,1
15,Zero Escape: Virtue's Last Reward (2012),1,1
