Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metal Gear Solid: Peace Walker,2010-04-29,382,15,1615,co5ejw
2,Final Fantasy Tactics: The War of the Lions,2007-05-08,394,14,1624,co1pn8
3,Monster Hunter Freedom Unite,2008-03-27,20427,13,1676,co2hcz
4,Persona 3 Portable,2009-11-01,11416,12,745,co1n1z
5,Lumines,2004-12-12,4689,11,1124,co53gv
6,Crisis Core: Final Fantasy VII,2007-09-13,2407,10,1620,co1trb
7,Kingdom Hearts Birth by Sleep,2010-01-09,1224,9,1677,co2ych
8,God of War: Ghost of Sparta,2010-11-02,550,8,1616,co3dio
9,Grand Theft Auto: Liberty City Stories,2005-10-25,3263,7,1115,co2lbg
10,Daxter,2006-03-14,1533,6,1617,co1pn3
