Position,Title,TotalScore,ListsAppeared
1,Gran Turismo 7 (2022),26,2
2,Resident Evil Village (2021),23,2
3,Horizon Call of the Mountain (2023),21,2
4,Moss: Book II (2022),17,2
5,Star Wars: Tales from the Galaxy's Edge (2020),15,2
6,The Walking Dead: Saints & Sinners (2020),15,1
7,The Dark Pictures: Switchback VR (2023),14,1
8,Tetris Effect: Connected (2020),14,2
9,Pistol Whip (2019),13,1
10,No Man's Sky (2016),10,1
11,Synth Riders: Remastered Edition (2023),10,1
12,Kayak VR: Mirage (2022),9,1
13,Before Your Eyes (2021),8,1
14,Moss (2018),8,1
15,The Walking Dead: Saints & Sinners - Ch 2: Retribution (2023),7,1
16,Pavlov VR (2017),7,1
17,Song in the Smoke (2021),5,2
18,Demeo (2021),5,1
19,Rez Infinite (2016),4,1
20,Creed: Rise to Glory - Championship Edition (2023),3,1
21,The Light Brigade (2023),3,1
22,Jurassic World Aftermath Collection (2022),2,1
23,Cosmonious High (2022),1,1
