Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Horizon Call of the Mountain,2023-02-22,186309,15,210,co4ti4
2,The Dark Pictures: Switchback VR,2023-03-16,224413,14,972,co5vmu
3,Star Wars: Tales from the Galaxy's Edge,2020-11-19,134957,13,973,co2p8e
4,Gran Turismo 7,2022-03-04,101006,12,359,co2g84
5,Resident Evil Village,2021-05-06,55163,11,127,co2zpu
6,No Man's Sky,2016-08-09,3225,10,65,co5j66
7,Kayak VR: Mirage,2022-02-22,157244,9,974,co3f5d
8,Before Your Eyes,2021-04-08,91477,8,975,co2x7h
9,The Walking Dead: Saints & Sinners - Ch 2: Retribution,2023-03-21,198232,7,976,co4qbe
10,Moss: Book II,2022-03-31,154839,6,43,co4hdf
11,Tetris Effect: Connected,2020-05-14,135999,5,70,co2krv
12,Song in the Smoke,2021-10-07,145450,4,977,co3iwp
13,Creed: Rise to Glory - Championship Edition,2023-04-04,239419,3,978,co6dhv
14,Jurassic World Aftermath Collection,2022-11-10,223741,2,979,co5rbo
15,Cosmonious High,2022-03-31,194955,1,971,co5rrm
