Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metroid Prime: Trilogy,2009-08-24,1112,15,1516,co404a
2,Super Mario Galaxy,2007-11-01,1077,14,429,co21ro
3,Super Mario Galaxy 2,2010-05-23,1078,13,430,co21tl
4,Xenoblade Chronicles,2010-06-10,2364,12,549,co2609
5,Resident Evil 4: Wii Edition,2007-05-31,21533,11,2990,co20ch
6,The Legend of Zelda: Twilight Princess,2006-11-19,1036,10,535,co3mtv
7,Wii Sports Resort,2009-07-24,2182,9,879,co2may
8,Donkey Kong Country Returns,2010-11-21,1100,8,545,co1wf4
9,Super Smash Bros. Brawl,2008-01-31,1628,7,544,co221w
10,Ōkami,2006-04-20,1271,6,313,co3mpk
11,New Play Control! Pikmin 2,2009-03-12,84697,5,2991,co5y6r
12,Metroid Prime 3: Corruption,2007-08-27,1111,4,1514,co1wwp
13,Fire Emblem: Radiant Dawn,2007-02-22,1442,3,2992,co2q5q
14,Mario Kart Wii,2008-04-10,2183,2,878,co214e
15,Kirby's Return to Dream Land,2011-10-24,3725,1,2993,co1w9v
