Position,Title,TotalScore,ListsAppeared
1,Forza Horizon 5 (2021),102,8
2,Elden Ring (2022),81,7
3,Halo Infinite (2021),80,7
4,Psychonauts 2 (2021),50,5
5,Sea of Thieves (2018),47,5
6,Gears 5 (2019),45,4
7,Hitman 3 (2021),38,5
8,Ori and the Will of the Wisps (2020),36,6
9,Microsoft Flight Simulator (2020),36,4
10,Assassin's Creed Valhalla (2020),29,2
11,Pentiment (2022),23,3
12,Tunic (2022),22,2
13,Marvel's Guardians of the Galaxy (2021),21,2
14,Resident Evil Village (2021),21,2
15,Hades (2019),20,2
16,Gears Tactics (2020),17,2
17,Norco (2022),14,1
18,Hogwarts Legacy (2023),14,1
19,Deathloop (2021),13,2
20,High on Life (2022),13,2
21,Control: Ultimate Edition (2020),13,1
22,Immortality (2022),12,2
23,Sea of Thieves: Season 5 (2021),12,1
24,A Plague Tale: Innocence (2019),11,1
25,It Takes Two (2021),10,1
26,Citizen Sleeper (2022),10,1
27,Mortal Kombat 11: Ultimate (2020),10,1
28,Dead Space (2023),9,2
29,LEGO Star Wars: The Skywalker Saga (2022),9,1
30,The Forgotten City (2021),9,1
31,Sunset Overdrive (2014),8,1
32,Disco Elysium: The Final Cut (2021),8,1
33,Vampire Survivors (2021),7,1
34,Hi-Fi Rush (2023),7,2
35,Resident Evil 4 (2023),6,1
36,As Dusk Falls (2022),6,1
37,Halo: The Master Chief Collection (2014),6,2
38,Resident Evil Village: Gold Edition (2022),6,1
39,Star Wars: Squadrons (2020),6,1
40,Mass Effect Legendary Edition (2021),5,2
41,Star Wars Jedi: Survivor (2023),5,1
42,Destiny 2: Beyond Light (2020),5,1
43,Grounded (2020),4,1
44,Death's Door (2021),4,1
45,Tetris Effect: Connected (2020),4,1
46,Alan Wake Remastered (2021),4,1
47,Hitman Trilogy (2022),3,1
48,Cuphead (2017),2,1
49,Red Dead Redemption 2 (2018),2,1
50,Outer Wilds (2019),1,1
51,Tony Hawk's Pro Skater 1+2 (2020),1,1
