Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Forza Horizon 5,2021-11-09,141503,15,360,co3ofx
2,Elden Ring,2022-02-25,119133,14,10,co4jni
3,Psychonauts 2,2021-08-24,14741,13,362,co1sod
4,Deathloop,2021-09-14,113598,12,161,co4nzt
5,Sea of Thieves,2018-03-20,11137,11,366,co2558
6,Ori and the Will of the Wisps,2020-03-10,37001,10,369,co2e1l
7,Halo Infinite,2021-11-15,103281,9,361,co2dto
8,Hitman 3,2021-01-20,134595,8,135,co29lt
9,Pentiment,2022-11-15,204623,7,254,co4v1e
10,Resident Evil 4,2023-03-24,132181,6,212,co4tg4
11,Immortality,2022-08-30,152288,5,271,co55cl
12,Grounded,2020-07-28,125624,4,710,co5d1l
13,High on Life,2022-12-13,204618,3,711,co67qo
14,Dead Space,2023-01-27,159119,2,88,co5esn
15,Mass Effect Legendary Edition,2021-05-14,140839,1,367,co2k5h
