Position,Title,TotalScore,ListsAppeared
1,Europa Universalis IV (2013),82,6
2,Crusader Kings III (2020),80,6
3,Stellaris (2016),70,6
4,Hearts of Iron IV (2016),59,6
5,Total War: Warhammer II (2017),39,3
6,Victoria II (2010),32,4
7,Sid Meier's Civilization VI (2016),27,2
8,Total War: Warhammer III (2022),27,2
9,Total War: Shogun 2 (2011),25,2
10,Imperator: Rome (2019),20,2
11,Field of Glory: Empires (2019),16,2
12,Age of History II (2018),14,2
13,Total War: Rome II (2013),11,1
14,Total War: Three Kingdoms (2019),10,1
15,Dominions 5: Warriors of the Faith (2017),10,3
16,Panzer Corps 2 (2020),10,1
17,Terra Invicta (2022),10,1
18,Endless Space 2 (2017),9,1
19,Victoria 3 (2022),9,1
20,Hegemony III: Clash of the Ancients (2015),8,1
21,Medieval II: Total War (2006),8,1
22,Age of Wonders: Planetfall (2019),7,1
23,Knights of Honor II: Sovereign (2022),7,1
24,AI War: Fleet Command (2009),6,1
25,Endless Legend (2014),6,1
26,Conflict of Nations: World War 3 (2018),6,1
27,Crusader Kings II (2012),5,1
28,Sword of the Stars (2006),5,1
29,Sid Meier's Civilization V (2010),4,1
30,Sid Meier's Alpha Centauri (1999),4,1
31,Knights of Honor (2005),3,1
32,Total War: Attila (2015),2,1
33,Star Ruler 2 (2015),2,1
