Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Total War: Shogun 2,2011-03-15,432,15,1543,co2rpy
2,Europa Universalis IV,2013-08-13,1904,14,1538,co1rby
3,Crusader Kings III,2020-09-01,124954,13,962,co2g3i
4,Total War: Warhammer II,2017-09-28,28028,12,1539,co23go
5,Total War: Rome II,2013-09-03,2359,11,1544,co1qs5
6,Hearts of Iron IV,2016-06-06,15894,10,1541,co1j86
7,Endless Space 2,2017-05-18,11550,9,1545,co2svr
8,Medieval II: Total War,2006-11-10,440,8,1546,co2qo0
9,Stellaris,2016-05-09,11582,7,1540,co1r75
10,AI War: Fleet Command,2009-06-02,7720,6,1547,wfbbnuc9ovb2exmwydes
11,Crusader Kings II,2012-02-03,2918,5,1548,co1mwa
12,Sid Meier's Civilization V,2010-09-21,866,4,1363,co20up
13,Victoria II,2010-08-13,11037,3,1549,co1zs1
14,Total War: Attila,2015-02-17,8200,2,1550,co2rpx
15,Dominions 5: Warriors of the Faith,2017-11-27,77769,1,1551,co2pxw
