Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Disco Elysium,2019-10-15,26472,15,185,co1sfj
2,Hollow Knight,2017-02-24,14593,14,145,co1rgi
3,Return of the Obra Dinn,2018-10-18,9643,13,189,co27j9
4,Outer Wilds,2019-05-28,11737,12,370,co65ac
5,Hades,2019-12-10,113112,11,95,co39vc
6,Stardew Valley,2016-02-26,17000,10,386,xrpmydnu9rpxvxfjkiu7
7,The Case of the Golden Idol,2022-10-13,166722,9,251,co54g4
8,Celeste,2018-01-25,26226,8,144,co3byy
9,Furi,2016-07-05,17026,7,638,co27q3
10,SteamWorld Dig 2,2017-09-21,27433,6,639,co24u8
11,Spiritfarer,2020-08-18,119304,5,640,co2fe7
12,Citizen Sleeper,2022-05-05,152271,4,250,co4zl5
13,Terraria,2011-05-16,1879,3,708,co1rbo
14,Vampire Survivors,2021-12-17,186725,2,252,co4bzv
15,Inscryption,2021-10-19,139090,1,1041,co401c
