Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Inside,2016-06-29,7342,15,629,co2fca
2,Cuphead,2017-09-29,9061,14,600,co62ao
3,Braid,2008-08-06,2853,13,630,co25ni
4,Spelunky,2012-07-04,3029,12,631,co47m4
5,Darkest Dungeon,2016-01-19,8965,11,632,co1rc4
6,Undertale,2015-09-15,12517,10,413,co2855
7,Crypt of the NecroDancer,2014-07-30,7886,9,633,co538r
8,Hotline Miami,2012-10-23,1384,8,634,co1vqp
9,Limbo,2010-07-21,1331,7,635,co1qrs
10,Enter the Gungeon,2016-04-05,11182,6,623,co1rdg
11,Hollow Knight,2017-02-24,14593,5,145,co1rgi
12,Stardew Valley,2016-02-26,17000,4,386,xrpmydnu9rpxvxfjkiu7
13,Hades,2019-12-10,113112,3,95,co39vc
14,Cave Story,2004-12-20,6189,2,636,co4q30
15,A Night in the Woods,2014-02-08,128760,1,637,co58d7
