Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Divinity: Original Sin II,2017-09-14,11800,15,705,co1y5v
2,Journey,2012-03-13,1352,14,332,co1q8q
3,Undertale,2015-09-15,12517,13,413,co2855
4,Inside,2016-06-29,7342,12,629,co2fca
5,Minecraft,2011-11-18,121,11,201,co49x5
6,Braid,2008-08-06,2853,10,630,co25ni
7,The Witness,2016-01-26,5601,9,1234,co3hih
8,Celeste,2018-01-25,26226,8,144,co3byy
9,What Remains of Edith Finch,2017-04-24,11233,7,397,co1rbj
10,Shovel Knight,2014-06-26,7444,6,528,co1p9i
11,Stardew Valley,2016-02-26,17000,5,386,xrpmydnu9rpxvxfjkiu7
12,Hollow Knight,2017-02-24,14593,4,145,co1rgi
13,Hotline Miami,2012-10-23,1384,3,634,co1vqp
14,Darkest Dungeon,2016-01-19,8965,2,632,co1rc4
15,Dead Cells,2018-08-06,26855,1,619,co5vwu
