Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Hades,2019-12-10,113112,15,95,co39vc
2,Citizen Sleeper,2022-05-05,152271,14,250,co4zl5
3,Disco Elysium,2019-10-15,26472,13,185,co1sfj
4,Overcooked! All You Can Eat,2020-11-12,135915,12,694,co2t83
5,Baba is You,2019-03-13,76638,11,1049,co2hqt
6,Unpacking,2021-11-02,115843,10,1043,co1t45
7,Inscryption,2021-10-19,139090,9,1041,co401c
8,Northgard,2018-03-07,18918,8,1753,guqifzispzew1rubnyzd
9,Return of the Obra Dinn,2018-10-18,9643,7,189,co27j9
10,Enter the Gungeon,2016-04-05,11182,6,623,co1rdg
11,Hollow Knight,2017-02-24,14593,5,145,co1rgi
12,Stardew Valley,2016-02-26,17000,4,386,xrpmydnu9rpxvxfjkiu7
13,Hotline Miami Collection,2017-10-10,99733,3,1974,co1p88
