Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Shovel Knight,2014-06-26,7444,15,528,co1p9i
2,Cuphead,2017-09-29,9061,14,600,co62ao
3,Wargroove,2019-01-02,27441,13,1952,co4hgb
4,Divinity: Original Sin II,2017-09-14,11800,12,705,co1y5v
5,Undertale,2015-09-15,12517,11,413,co2855
6,Hades,2019-12-10,113112,10,95,co39vc
7,Hollow Knight,2017-02-24,14593,9,145,co1rgi
8,Slay the Spire,2019-01-23,40477,8,146,co1iyf
9,Celeste,2018-01-25,26226,7,144,co3byy
10,Stardew Valley,2016-02-26,17000,6,386,xrpmydnu9rpxvxfjkiu7
11,Katana Zero,2019-04-18,20150,5,1953,co1isp
12,Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda,2019-06-13,116419,4,1949,co1qgt
13,Night in the Woods,2017-02-21,10148,3,649,co4ovg
