Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Hollow Knight,2017-02-24,14593,15,145,co1rgi
2,Hades,2019-12-10,113112,14,95,co39vc
3,What Remains of Edith Finch,2017-04-24,11233,13,397,co1rbj
4,Inside,2016-06-29,7342,12,629,co2fca
5,Return of the Obra Dinn,2018-10-18,9643,11,189,co27j9
6,Stardew Valley,2016-02-26,17000,10,386,xrpmydnu9rpxvxfjkiu7
7,Outer Wilds,2019-05-28,11737,9,370,co65ac
8,Firewatch,2016-02-09,9730,8,648,co1m35
9,Super Meat Boy,2010-10-20,885,7,647,co276m
10,Disco Elysium,2019-10-15,26472,6,185,co1sfj
11,Celeste,2018-01-25,26226,5,144,co3byy
12,Cuphead,2017-09-29,9061,4,600,co62ao
13,Shovel Knight,2014-06-26,7444,3,528,co1p9i
14,Bastion,2011-07-20,1983,2,655,co1qlj
15,Ori and the Blind Forest,2015-03-11,7344,1,657,co1y41
