Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Gris,2018-12-13,22917,15,665,co1qv5
2,OlliOlli World,2022-02-08,145782,14,280,co2xvs
3,Wargroove,2019-01-02,27441,13,1952,co4hgb
4,Shovel Knight,2014-06-26,7444,12,528,co1p9i
5,Neon White,2022-06-16,143612,11,261,co2tgh
6,Risk of Rain 2,2019-03-28,28512,10,1489,co2eu7
7,Spiritfarer,2020-08-18,119304,9,640,co2fe7
8,Dead Cells,2018-08-06,26855,8,619,co5vwu
9,Undertale,2015-09-15,12517,7,413,co2855
10,The Long Dark,2017-08-01,8347,6,1966,co1vga
11,Beacon Pines,2022-09-22,143113,5,1967,co5d1x
12,Cuphead,2017-09-29,9061,4,600,co62ao
13,Raji: An Ancient Epic,2020-08-18,70828,3,1968,co1xhp
14,I Am Dead,2020-10-08,131869,2,1969,co3uyg
15,Cloudpunk,2020-04-23,111837,1,1970,co2jbz
