Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Hollow Knight,2017-02-24,14593,15,145,co1rgi
2,Celeste,2018-01-25,26226,14,144,co3byy
3,Undertale,2015-09-15,12517,13,413,co2855
4,Cuphead,2017-09-29,9061,12,600,co62ao
5,Shovel Knight: Treasure Trove,2019-12-09,26848,11,1948,co2gsx
6,Night in the Woods,2017-02-21,10148,10,649,co4ovg
7,Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda,2019-06-13,116419,9,1949,co1qgt
8,Slay the Spire,2019-01-23,40477,8,146,co1iyf
9,Gris,2018-12-13,22917,7,665,co1qv5
10,Spiritfarer,2020-08-18,119304,6,640,co2fe7
11,Untitled Goose Game,2019-09-20,72813,5,1053,co1vqc
12,Sayonara Wild Hearts,2019-09-19,113107,4,754,co2gx1
13,Owlboy,2016-11-01,12597,3,663,co1nc2
14,Wizard of Legend,2018-05-15,19935,2,1950,co27gi
15,Oxenfree,2016-01-14,14587,1,1951,co2hlq
