Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Hades,2019-12-10,113112,15,95,co39vc
2,Huntdown,2020-05-12,19728,14,1961,co26jr
3,Death's Door,2021-07-20,145099,13,598,co45xc
4,Teenage Mutant Ninja Turtles: Shredder's Revenge,2022-06-16,144465,12,291,co4w87
5,Streets of Rage 4,2020-04-30,107262,11,1956,co2dru
6,Hollow Knight,2017-02-24,14593,10,145,co1rgi
7,Little Nightmares II,2021-02-10,121760,9,1442,co1p7d
8,Spiritfarer,2020-08-18,119304,8,640,co2fe7
9,Dead Cells,2018-08-06,26855,7,619,co5vwu
10,Doki Doki Literature Club Plus!,2021-06-30,152122,6,1962,co395s
11,Celeste,2018-01-25,26226,5,144,co3byy
12,The Wild at Heart,2021-05-19,116522,4,1963,co2g18
13,Cave Story+,2011-11-22,8214,3,1964,co2380
14,Children of Morta,2019-09-03,36198,2,1965,co2iw2
15,Undertale,2015-09-15,12517,1,413,co2855
