Position,Title,TotalScore,ListsAppeared
1,World of Warcraft (2004),130,9
2,The Elder Scrolls Online (2014),87,9
3,Final Fantasy XIV Online (2010),84,8
4,Guild Wars 2 (2012),76,8
5,Eve Online (2003),67,7
6,RuneScape (2001),65,6
7,Star Wars: The Old Republic (2011),49,6
8,The Lord of the Rings Online (2007),38,5
9,DC Universe Online (2011),31,4
10,Black Desert (2015),30,5
11,Neverwinter (2013),29,3
12,Lost Ark (2018),27,3
13,World of Warcraft: Wrath of the Lich King (2008),26,2
14,World of Warcraft: The Burning Crusade (2007),24,2
15,Tera (2011),21,3
16,Final Fantasy XI Online (2002),20,2
17,City of Heroes (2004),19,2
18,Star Trek Online (2010),17,3
19,World of Warcraft: Cataclysm (2010),17,2
20,Rift (2011),16,2
21,City of Heroes: Going Rogue (2010),15,1
22,Final Fantasy XIV: Endwalker (2021),14,1
23,World of Warcraft Classic (2019),14,1
24,Phantasy Star Online 2 (2012),13,1
25,New World (2021),13,1
26,EverQuest (1999),13,3
27,MapleStory 2 (2015),12,1
28,Old School RuneScape (2013),12,1
29,Final Fantasy XIV: Shadowbringers (2019),11,1
30,Destiny 2 (2017),10,2
31,City of Villains (2005),10,1
32,Star Wars: Knights of the Old Republic (2003),9,1
33,Phantasy Star Online (2000),9,1
34,World of Warcraft: Legion (2016),8,1
35,Dark Age of Camelot (2001),7,1
36,Dungeons & Dragons Online (2006),6,1
37,Fallout 76 (2018),6,1
38,Final Fantasy XIV: Stormblood (2017),6,1
39,WildStar (1970),6,1
40,World of Warcraft: Warlords of Draenor (2014),5,1
41,Trove (2015),5,2
42,EverQuest: Omens of War (2004),4,1
43,World of Warcraft: Mists of Pandaria (2012),4,1
44,EverQuest: The Ruins of Kunark (2000),3,1
45,Asheron's Call (1999),3,1
46,PlanetSide 2 (2012),3,1
47,The Lord of the Rings Online: Shadows of Angmar (2007),2,1
48,Albion Online (2017),2,1
49,Warhammer Online: Age of Reckoning (2008),1,1
50,Pirate101 (2012),1,1
