Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,World of Warcraft,2004-11-23,123,15,514,co2l7z
2,Final Fantasy XIV: Endwalker,2021-12-07,143232,14,845,co30hn
3,World of Warcraft: Wrath of the Lich King,2008-11-13,228,13,1896,co1xv9
4,World of Warcraft: The Burning Crusade,2007-01-15,227,12,1902,co1xw6
5,Final Fantasy XIV: Shadowbringers,2019-07-02,112412,11,2240,co2cuw
6,World of Warcraft: Cataclysm,2010-12-07,229,10,2241,co1xvb
7,Guild Wars 2,2012-08-18,1183,9,2234,co54tr
8,World of Warcraft: Legion,2016-08-30,11593,8,1899,co3gl3
9,Dark Age of Camelot,2001-10-10,657,7,2242,co5u5m
10,Final Fantasy XIV: Stormblood,2017-06-20,26625,6,2243,co30f8
11,World of Warcraft: Warlords of Draenor,2014-11-13,3157,5,1898,co1xw7
12,EverQuest: Omens of War,2004-09-14,24247,4,2244,wzbjshs7kvtcotgyswlr
13,EverQuest: The Ruins of Kunark,2000-04-24,686,3,2245,co4q2e
14,The Lord of the Rings Online: Shadows of Angmar,2007-05-24,51193,2,2246,co6x0x
15,Warhammer Online: Age of Reckoning,2008-09-18,215,1,2247,co2ob3
