Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,World of Warcraft,2004-11-23,123,15,514,co2l7z
2,World of Warcraft Classic,2019-08-27,75379,14,2264,co1trz
3,Final Fantasy XIV Online,2010-09-30,14729,13,963,co1trg
4,Neverwinter,2013-06-20,1908,12,2265,co2qty
5,Star Trek Online,2010-02-02,7584,11,2251,co1o44
6,DC Universe Online,2011-01-11,576,10,2256,co1u18
7,RuneScape,2001-01-04,5611,9,1035,co4wo6
8,Lost Ark,2018-12-04,26128,8,2236,co4w4j
9,Black Desert,2015-12-31,6292,7,2235,co6f1i
10,Eve Online,2003-05-06,2584,6,2233,co7avk
11,The Elder Scrolls Online,2014-04-04,1081,5,2231,co1ybf
12,Destiny 2,2017-09-06,25657,4,1224,co67qb
13,Trove,2015-07-05,9728,3,2253,yckmopwynvlncm1ub3om
14,Albion Online,2017-07-17,19698,2,1482,co6gno
15,The Lord of the Rings Online,2007-04-24,3092,1,2239,co5rub
